date,metric_name,metric_description,metric_owner,metric_value,period_type,period_value
2023-05-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05841630687663458,Calendar Period,2023_May
2023-06-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.0656362502160378,Calendar Period,2023_June
2023-07-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.06250544989660503,Calendar Period,2023_July
2023-08-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.06644937013678767,Calendar Period,2023_August
2023-09-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.059341889948544,Calendar Period,2023_September
2023-10-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.056712882202824076,Calendar Period,2023_October
2023-11-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.0590156141859524,Calendar Period,2023_November
2023-12-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05503977636344086,Calendar Period,2023_December
2024-01-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05831597172616287,Calendar Period,2024_January
2024-02-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05285250288026627,Calendar Period,2024_February
2024-03-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.060740493718686644,Calendar Period,2024_March
2024-04-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.0509645180874506,Calendar Period,2024_April
2024-05-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05885287497956589,Calendar Period,2024_May
2024-06-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.06674177699183964,Calendar Period,2024_June
2024-07-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.06408804204905638,Calendar Period,2024_July
2024-08-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.052490882480136024,Calendar Period,2024_August
2024-09-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05045557432700815,Calendar Period,2024_September
2024-10-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.049081329652437125,Calendar Period,2024_October
2024-11-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.047202996496290034,Calendar Period,2024_November
2024-12-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.054074173262057636,Calendar Period,2024_December
2025-01-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.051369750065413555,Calendar Period,2025_January
2025-02-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05498374938601732,Calendar Period,2025_February
2025-03-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05173489407933217,Calendar Period,2025_March
2025-04-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05286325450691842,Calendar Period,2025_April
2025-05-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.04874953085611487,Calendar Period,2025_May
2025-06-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05420593692286827,Calendar Period,2025_June
2022-01-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04432946965146987,Calendar Period,2022_January
2022-02-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04454248465613614,Calendar Period,2022_February
2022-03-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04865771822080473,Calendar Period,2022_March
2022-04-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.051923469717200244,Calendar Period,2022_April
2022-05-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.057543763922696035,Calendar Period,2022_May
2022-06-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05496985139093489,Calendar Period,2022_June
2022-07-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04979021913676578,Calendar Period,2022_July
2022-08-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.048050539583232466,Calendar Period,2022_August
2022-09-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05093624081778195,Calendar Period,2022_September
2022-10-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05535307033409389,Calendar Period,2022_October
2022-11-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05593029426140955,Calendar Period,2022_November
2022-12-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.053260399738884474,Calendar Period,2022_December
2023-01-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05287495605700946,Calendar Period,2023_January
2023-02-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04944069444104934,Calendar Period,2023_February
2023-03-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04475692974484639,Calendar Period,2023_March
2023-04-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.0406085157209595,Calendar Period,2023_April
2023-05-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.03664739739424134,Calendar Period,2023_May
2023-06-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04275731023943819,Calendar Period,2023_June
2023-07-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04482195578026841,Calendar Period,2023_July
2023-08-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.049593370835048105,Calendar Period,2023_August
2023-09-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05230493146167123,Calendar Period,2023_September
2023-10-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.051654293942396706,Calendar Period,2023_October
2023-11-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.050672416261105975,Calendar Period,2023_November
2023-12-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.049152262907275535,Calendar Period,2023_December
2024-01-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04894732227070301,Calendar Period,2024_January
2024-02-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04561329213863465,Calendar Period,2024_February
2024-03-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04095529528234184,Calendar Period,2024_March
2024-04-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.040279526499965655,Calendar Period,2024_April
2024-05-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04880670392510345,Calendar Period,2024_May
2024-06-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05399039319160995,Calendar Period,2024_June
2024-07-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.058712217884174134,Calendar Period,2024_July
2024-08-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05812984726262558,Calendar Period,2024_August
2024-09-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.058085364235972554,Calendar Period,2024_September
2024-10-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05361702725972869,Calendar Period,2024_October
2024-11-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05382801134275128,Calendar Period,2024_November
2024-12-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05118471299291665,Calendar Period,2024_December
2025-01-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.057393413955696915,Calendar Period,2025_January
2025-02-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.05742873697003207,Calendar Period,2025_February
2025-03-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.055215349300594206,Calendar Period,2025_March
2025-04-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04824146699423034,Calendar Period,2025_April
2025-05-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04155990562041483,Calendar Period,2025_May
2025-06-01,ANZ Best Home Loan Rate (<80% LVR),The lowest interest rate offered by ANZ to customers with a loan-to-value ratio under 80%.,Daniel Green,0.04265094875695876,Calendar Period,2025_June
2022-01-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04103165563345655,Calendar Period,2022_January
2022-02-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06727961206236346,Calendar Period,2022_February
2022-03-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04776339944800051,Calendar Period,2022_March
2022-04-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.059875668530619465,Calendar Period,2022_April
2022-05-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.049351332282682334,Calendar Period,2022_May
2022-06-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.055602040635334325,Calendar Period,2022_June
2022-07-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.056401308380298394,Calendar Period,2022_July
2022-08-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04554563366576581,Calendar Period,2022_August
2022-09-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06908753883293677,Calendar Period,2022_September
2022-10-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06325398470083345,Calendar Period,2022_October
2022-11-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06818496824692567,Calendar Period,2022_November
2022-12-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06684482051282947,Calendar Period,2022_December
2023-01-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.05793699936433256,Calendar Period,2023_January
2023-02-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.0676562270506935,Calendar Period,2023_February
2023-03-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.042654775061557584,Calendar Period,2023_March
2023-04-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04587948587257436,Calendar Period,2023_April
2023-05-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04135681866731614,Calendar Period,2023_May
2023-06-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04975990992289793,Calendar Period,2023_June
2023-07-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.051660318690684465,Calendar Period,2023_July
2023-08-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04814047095321688,Calendar Period,2023_August
2023-09-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06486212527455788,Calendar Period,2023_September
2023-10-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.05070259980080768,Calendar Period,2023_October
2023-11-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.048428035290621424,Calendar Period,2023_November
2023-12-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.056280882494747456,Calendar Period,2023_December
2024-01-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04422772674924288,Calendar Period,2024_January
2024-02-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06406590942262119,Calendar Period,2024_February
2024-03-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04223651931039313,Calendar Period,2024_March
2024-04-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06960660809801553,Calendar Period,2024_April
2024-05-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06316734307889973,Calendar Period,2024_May
2024-06-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04596147044602517,Calendar Period,2024_June
2024-07-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04016566351370807,Calendar Period,2024_July
2024-08-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06446384285364504,Calendar Period,2024_August
2024-09-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06120572031542852,Calendar Period,2024_September
2024-10-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06187021504122962,Calendar Period,2024_October
2024-11-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06313811040057837,Calendar Period,2024_November
2024-12-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04222133955202271,Calendar Period,2024_December
2025-01-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.050753971856328184,Calendar Period,2025_January
2025-02-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04347607178575389,Calendar Period,2025_February
2025-03-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.06589310277626781,Calendar Period,2025_March
2025-04-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.05869894380482674,Calendar Period,2025_April
2025-05-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.049926940745579476,Calendar Period,2025_May
2025-06-01,Competitor Best Home Loan Rate (<80% LVR),The most competitive rate available in the market from other banks for customers with <80% LVR.,Ava Kapoor,0.04190675050858071,Calendar Period,2025_June
2022-01-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.028493872365571254,Calendar Period,2022_January
2022-02-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.027546787067619618,Calendar Period,2022_February
2022-03-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.015158832554303111,Calendar Period,2022_March
2022-04-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02319968092068358,Calendar Period,2022_April
2022-05-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.026344444004024314,Calendar Period,2022_May
2022-06-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.021104016231989244,Calendar Period,2022_June
2022-07-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02059301156712013,Calendar Period,2022_July
2022-08-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.014837045818009034,Calendar Period,2022_August
2022-09-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.011862055356117984,Calendar Period,2022_September
2022-10-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02794431515906653,Calendar Period,2022_October
2022-11-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.028008361143266606,Calendar Period,2022_November
2022-12-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02266202914546536,Calendar Period,2022_December
2023-01-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.016780595820974013,Calendar Period,2023_January
2023-02-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.016984191492253217,Calendar Period,2023_February
2023-03-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.024519113577404786,Calendar Period,2023_March
2023-04-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02794220519905154,Calendar Period,2023_April
2023-05-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.027741728485302344,Calendar Period,2023_May
2023-06-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.025597510917152476,Calendar Period,2023_June
2023-07-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.022840632923085753,Calendar Period,2023_July
2023-08-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.011682799299900976,Calendar Period,2023_August
2023-09-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.013232574281892276,Calendar Period,2023_September
2023-10-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.027971083770541583,Calendar Period,2023_October
2023-11-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.022128581193191797,Calendar Period,2023_November
2023-12-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.010183941032332593,Calendar Period,2023_December
2024-01-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.012029430857320642,Calendar Period,2024_January
2024-02-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.023270035382161113,Calendar Period,2024_February
2024-03-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.010101231676924375,Calendar Period,2024_March
2024-04-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.013216161028349972,Calendar Period,2024_April
2024-05-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.020974675787331722,Calendar Period,2024_May
2024-06-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.023837903953853865,Calendar Period,2024_June
2024-07-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.02303922519005201,Calendar Period,2024_July
2024-08-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.014485386189211195,Calendar Period,2024_August
2024-09-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.024243584426950716,Calendar Period,2024_September
2024-10-01,Home Loan 3-Monthly Attrition Rate (%),The percentage of home loan accounts closed or refinanced away from ANZ over a 3-month period.,Lucas Wang,0.014744981749936001,Calendar Period,2024_October
